x xuv xdv xubar xdbar xgl
0.001 0.889335 0.862165 0.833375 0.85241 7.90222
0.00103532 0.884898 0.857574 0.828154 0.847517 7.85888
0.00107189 0.880485 0.85301 0.822945 0.84264 7.81477
0.00110975 0.876095 0.848472 0.817751 0.83778 7.76992
0.00114895 0.87173 0.843963 0.812571 0.832939 7.72436
0.00118953 0.867391 0.839482 0.807405 0.828116 7.67811
0.00123155 0.863078 0.83503 0.802256 0.823311 7.63118
0.00127505 0.858792 0.830609 0.797122 0.818527 7.58359
0.00132009 0.854534 0.82622 0.792006 0.813762 7.53538
0.00136672 0.850305 0.821862 0.786906 0.809018 7.48655
0.00141499 0.846106 0.817537 0.781825 0.804295 7.43713
0.00146497 0.841937 0.813246 0.776763 0.799593 7.38714
0.00151672 0.837799 0.80899 0.771719 0.794913 7.33659
0.00157029 0.833694 0.804769 0.766696 0.790256 7.28552
0.00162576 0.829621 0.800584 0.761693 0.785621 7.23393
0.00168318 0.825582 0.796436 0.75671 0.781008 7.18184
0.00174263 0.821578 0.792325 0.751749 0.776419 7.12929
0.00180419 0.817609 0.788252 0.74681 0.771854 7.07627
0.00186791 0.813676 0.784218 0.741892 0.767312 7.02282
0.00193389 0.809779 0.780224 0.736998 0.762794 6.96895
0.0020022 0.805921 0.77627 0.732127 0.7583 6.91467
0.00207292 0.8021 0.772357 0.72728 0.753831 6.86001
0.00214614 0.798319 0.768485 0.722456 0.749386 6.80499
0.00222195 0.794578 0.764655 0.717657 0.744965 6.74961
0.00230043 0.790878 0.760867 0.712883 0.740568 6.6939
0.00238169 0.78722 0.757123 0.708134 0.736196 6.63788
0.00246581 0.783603 0.753422 0.703411 0.731849 6.58156
0.00255291 0.78003 0.749765 0.698713 0.727525 6.52495
0.00264308 0.776501 0.746152 0.694042 0.723226 6.46808
0.00273644 0.773016 0.742584 0.689398 0.718951 6.41095
0.0028331 0.769577 0.739062 0.68478 0.714699 6.35359
0.00293317 0.766184 0.735585 0.680189 0.710471 6.29601
0.00303677 0.762838 0.732154 0.675626 0.706266 6.23822
0.00314404 0.75954 0.728769 0.67109 0.702084 6.18024
0.00325509 0.756291 0.72543 0.666582 0.697924 6.12208
0.00337006 0.753091 0.722138 0.662102 0.693786 6.06376
0.0034891 0.749941 0.718893 0.65765 0.689669 6.00529
0.00361234 0.746843 0.715694 0.653227 0.685572 5.94668
0.00373994 0.743796 0.712543 0.648832 0.681496 5.88796
0.00387204 0.740802 0.709438 0.644465 0.677439 5.82912
0.00400881 0.737862 0.706381 0.640127 0.6734 5.77019
0.0041504 0.734976 0.70337 0.635817 0.669379 5.71117
0.004297 0.732145 0.700406 0.631536 0.665375 5.65208
0.00444878 0.72937 0.697488 0.627284 0.661386 5.59294
0.00460592 0.726652 0.694617 0.62306 0.657411 5.53375
0.00476861 0.723991 0.691792 0.618865 0.65345 5.47452
0.00493705 0.721389 0.689012 0.614699 0.649501 5.41527
0.00511143 0.718847 0.686278 0.61056 0.645563 5.356
0.00529198 0.716365 0.683588 0.60645 0.641634 5.29673
0.0054789 0.713944 0.680943 0.602368 0.637713 5.23748
0.00567243 0.711585 0.678341 0.598314 0.633799 5.17824
0.00587279 0.709288 0.675782 0.594287 0.629888 5.11903
0.00608022 0.707056 0.673265 0.590287 0.625981 5.05987
0.00629499 0.704888 0.670789 0.586315 0.622074 5.00075
0.00651734 0.702786 0.668353 0.582368 0.618167 4.94169
0.00674754 0.70075 0.665956 0.578448 0.614256 4.8827
0.00698588 0.698781 0.663598 0.574554 0.610339 4.82379
0.00723263 0.69688 0.661277 0.570685 0.606415 4.76497
0.0074881 0.695049 0.658991 0.56684 0.602481 4.70624
0.0077526 0.693287 0.656739 0.56302 0.598535 4.64762
0.00802643 0.691597 0.65452 0.559222 0.594573 4.58911
0.00830994 0.689978 0.652332 0.555448 0.590593 4.53073
0.00860346 0.688431 0.650174 0.551696 0.586593 4.47247
0.00890735 0.686959 0.648043 0.547964 0.582568 4.41435
0.00922198 0.68556 0.645938 0.544253 0.578517 4.35638
0.00954772 0.684237 0.643857 0.540562 0.574436 4.29855
0.00988496 0.68299 0.641797 0.536889 0.570322 4.24089
0.0102341 0.68182 0.639758 0.533233 0.566171 4.1834
